user_id, business_id, prediction
vxR_YV0atFxIxfOnF9uHjQ,gTw6PENNGl68ZPUpYWP50A,5.0
o0p-iTC5yTBV5Yab_7es4g,iAuOpYDfOTuzQ6OPpEiGwA,4.0
-qj9ouN0bzMXz1vfEslG-A,5j7BnXXvlS69uLVHrY9Upw,2.0
E43QxgV87Ij6KxMCHcijKw,jUYp798M93Mpcjys_TTgsQ,5.0
T13IBpJITI32a1k41rc-tg,3MntE_HWbNNoyiLGxywjYA,5.0
Q1IENmNc6bdDruACmhy4mg,sPd3E7lFzd_yooiq-ekxtQ,4.0
4bQqil4770ey8GfhBgEGuw,YXohNvMTCmGhFMSQsDZq1g,5.0
0BBUmH7Krcax1RZgbH4fSA,XO2hZb0xC8jTexSHG4SxFg,4.0
QZ_Arlwoj0ghfBvg69rjOw,SUktrYdNQD8k2vvkM4OpfA,5.0
lEw2VL9JCDFk3R5NzahqnA,xVEtGucSRLk5pxxN0t4i6g,4.0
zsZBYWYEmLLs81_f-HHM8w,ZBfp0AT1NOE0ULg3EIYTSA,3.0
uNxXIIFzjHm5r62UTyVjrQ,Zvnm7o2eMaYAEHS8YRn_EQ,5.0
TGrZk61ja7X1ijAGW5lNmg,jCiovc2qHJ5L-_1gigLueQ,2.0
Fv0e9RIV9jw5TX3ctA1WbA,roA-hNugvAwiyVirIFH8Aw,1.0
z4RytucxI_XfcMFaEI2DRg,HPLB1Tr8ZB5UkD-2umKPdA,4.0
vxR_YV0atFxIxfOnF9uHjQ,82YGtjc5KKikNiqBZ33qzw,5.0
y0ZU1w6YY4W-KtMeRXSYLg,UpEVdq_euH-5mqCIgUAd2Q,4.0
BeoFmNoFuz-h8uso-J2_lg,lQpxpk_ZFJ_ZtYNYhJQv8Q,4.0
pMefTWo6gMdx8WhYSA2u3w,34OwRFftkT7t3iBquazJcg,3.0
tYk7mMGGFl3gLfmhST5L-A,cgoHLKJLsAK1ww0_ezNFnw,4.0
Ez8ifxrtOUT5TM4817scOQ,glTBzDHv9wNhEsZa4bQrOA,2.0
KhpA23RweKsO9TDaGpE2xg,B01pO_pI_8AOfEsukGNg-Q,5.0
Bj_MarPEKBe2xN12YimekQ,UPIYuRaZvknINOd1w8kqRQ,5.0
mrru6hbeQLvagU4vkfuqmw,dy0O7DaSUd49NZWSEtvz_g,4.5
UYcmGbelzRa0Q6JqzLoguw,ciDXNLbcwI7qt5guNKZPIw,5.0
0KeT9NKimYkHN0wlrij-dg,A9qmduhmrTZxSg7uTOnzYg,4.0
0nqshyLgABOSyTfJUTthjQ,VyjyHoBg3KC5BSFRlD0ZPQ,4.0
3CMiTAhq_o_GP1tLs-ihbg,MwCai0x6GILtK4KkwufZig,4.0
vSzquh2Ym99tpksfpWH2kg,cJq087T4mHnADzspL3MclQ,5.0
PKEzKWv_FktMm2mGPjwd0Q,0YG_kM5caZhtwd6nbnei6A,3.0
sMm9HOXmBgsBmCKnOmLwyA,dWFUKB_HPBIE87AFBHEb_w,1.0
E0v3KkPKsizW_RW3CKQj-A,as_fyujgsdwtV56n31z-Sw,5.0
en3OMUKWjeON-1-6wo8VrQ,1BrIPwRhJHOp6yBwjoRtgg,5.0
8AwcaBJjiMpQ__FPxktwwQ,BHWIl_wI7P58JrODocBjkg,5.0
ehAvwDt4Fpsz9KPordu5lA,GPX3TnZ0-4pAxKPJUESbeA,3.0
O5VAQ-dbR2Bk0OZLL1L0Ig,SOA7a5EC6cz2shD8CgB_7w,4.0
HVJgTH5qu0goywOHNpOjPA,M8a5DRdXl8KMu4bMFLPgQg,5.0
WJhQpdUHoFCtpU6gHFjVlQ,r4KXghbUeo7mugAzinG9bA,4.0
Ozmf732ox-TNhfKrjWBXpg,Z1yvzAbs4fGC28s7WtUonA,3.0
_VMGbmIeK71rQGwOBWt_Kg,LJQCv30PCIpC3FnvHF5mXQ,4.0
ot0yVHpNJNXNTJvSCD1_nw,MtvN8vMiKcLkkz_tCvBx3g,5.0
h1Vsz24g7TLA9ZfIDiFjbw,s-S2xzhmyWw7TUDet7WBnQ,4.0
bxRQIGQNkvxrmZ1i_cAnKQ,XBEx2FI2GKmsjs7eWNr7Lw,5.0
erQM1caBnCLFzT8v_2uEjA,Lzv68iVkRHstVvW3aXNWkA,1.0
uvRVutQ_Gu-OivL6ox0ouQ,3-HFGxmbzSax-NySJ_LzDg,4.0
sKIsEeWK1kigG9HNfkPfmg,fPISsMIXOYZP1uins2Bwyw,4.0
RylA6VZUTRuMGBu4nHKbCw,qwR_Oy11Nx7l8zoC7Vj3Rg,4.0
vIo7oGd2IMEMMfVMbgDUyg,FedVIzzA592Tchv3XnS18g,5.0
11k3A-_Ifz_86LHvkGRgoQ,VsewHMsfj1Mgsl2i_hio7w,5.0
7hnwrH20r6IiJOAlNOPgcw,w-As0KSwy8pqMClOea-NLQ,5.0
fjFYpwpvlIlqoiNa3myDEA,NJOtdjuLfRfg-Ddi7Au7Vw,3.0
94FDFrBJzciS-pP6MV8bRg,QTVvuhrbBDJfqaTyFOUMkw,2.0
BeeOV-pyDvxP7c6ZwH7bKg,DB9BRdu7is0AK1DvcuKlcw,5.0
CK-W4WhlmLKOZF-50WmmpQ,DxgSVufr_6y_Rc63CC17Zg,3.0
xWk0I0S9KWMB06wKUEDYxg,WDYE-OCXNgKyXGNuBjMgEw,3.5
UtkjXTiMfGRz4R1zDF3Kxg,Zja7ykq3icDzkN20XX6j1w,4.0
hTZb1INhnCG8URaFywVoYQ,SMPbvZLSMMb7KU76YNYMGg,4.0
N3oNEwh0qgPqPP3Em6wJXw,gTw6PENNGl68ZPUpYWP50A,5.0
eigZw_Tn4TWJPSZ9UO9Auw,AV6weBrZFFBfRGCbcRGO4g,3.0
CkqT3yGUeM_9vSbFES_O5w,YXohNvMTCmGhFMSQsDZq1g,5.0
0qIelmM4NjI5Y5b_VQI-Qg,ENzLJkb8eXP8fGBzG5aGXg,5.0
c3DfRslN9pM-34shCBYpzA,rFb9J1njudA6j7zym5hL1Q,4.0
p9TNT6pNKRuvBSzNf27JkQ,Lc31HveLiuaxVEt0cvZO7Q,4.0
PF07QY_dBTNGavc8CYBv5w,ii_zDR8crbQVJehMMWoCkQ,3.0
